name	price	off	ratings	total_ratings	free_delivery	fastest_delivery
Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Bu...	41990.0	53.0			FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 wit...	24021.0	38.0	3.8	247	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Dell G16 7630 Gaming Laptop, Intel i9-13900HX/16GB DDR5/1TB SSD/NVIDIA RTX 4070, 8GB GDDR6/16 (40.64cm) QHD+ 240Hz/Backlit...	197146.0	18.0	4.0	1	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 4050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/14...	77990.0	24.0	4.2	23	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
MSI Pulse 16 AI, Intel Core Ultra 9 185H,Built-in AI, 41CM 16:10 QHD+ 240Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Hom...	174990.0	16.0			FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell 14 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB + 512GB SSD, 14.0"" (35.62cm) FHD AG 250 nits Display, Wind..."	47990.0	21.0	3.7	103	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell 15 Thin & Light Laptop, 12th Generation Intel Core i3-1215U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120H..."	36490.0	24.0	3.8	299	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/DOS/Iron Grey/1...."	38999.0	22.0	3.9	32	FREE delivery Sat, 16 Nov	Or fastest delivery Fri, 15 Nov
"ASUS Zenbook 14, Intel Core Ultra 7, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (32GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Foggy Silver/1.28 Kg), UX3405MA-PZ761WS"	122990.0	17.0	3.9	22	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35.56cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop..."	43990.0	42.0	4.1	14	FREE delivery	
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Backlit Keyboard/FPR/Black/1Y Onsite/1.41 kg), 21JKS13M00"	67990.0	0.36	3.0	24	FREE delivery Sun, 17 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memor...	147990.0	0.04	4.5	91	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (8GB/512GB SSD/Intel Integrated UHD Graphics/Windows 11 Pro) Thin and...	38880.0	0.22	3.7	6	FREE delivery Mon, 18 Nov	FREE delivery Mon, 18 Nov
"(Refurbished) HP Elitebook 745 G5| AMD Ryzen 5 Pro 2500U Laptop ( 16 GB DDR4 RAM | 512 GB SSD | 14"" (35.6 cm) HD | Windows..."	22999.0	0.81	5.0	2	FREE delivery	This item will be released on November 14, 2024.
(Refurbished) Acer ALG Gaming Laptop 13th Gen Intel Core i7 Processor (16GB DDR4/512GB SSD/6GB RTX3050 Graphics/144Hz/Win1...	60341.0	0.15			FREE delivery Sat, 16 Nov	Or fastest delivery Fri, 15 Nov
"ASUS Vivobook 16"" FHD+ (1920 x 1200), 60Hz 300nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris Xᵉ Graphics/Win 11/Offi..."	52990.0	0.24	4.3	13	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"(Refurbished) ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NV..."	49290.0	0.1			FREE delivery Sat, 16 Nov	Or fastest delivery Fri, 15 Nov
"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celeron N4020 Dual Core Processor Upto 2.80GHz, 8GB RAM, 256GB SSD, Intel UHD ..."	18990.0	0.53	3.7	3126	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 165Hz, Gaming Laptop (16GB/512GB SSD/4GB NVID...	50890.0	0.41	3.8	131	FREE delivery Mon, 18 Nov	FREE delivery Mon, 18 Nov
"HP 15 Ryzen 3 7320U (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Backlit Keyboard/Windows 11/MS Office 21/1.59kg/Silver) fc0026A..."	33890.0	0.25	4.0	37	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkPad E14 Intel Core i3 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/FPR/Black/1Y Onsite/1.41 kg), 21JKS13L00"	48590.0	0.45	4.0	80	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN	54990.0	0.34	4.3	9	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HP ZBook Firefly 13th Gen Intel Core i7-1355U/ 16 Inch(40.6 cm)/ Diagonal WUXGA Display /32GB RAM/1 TB SSD/Intel Iris® Xᵉ ...	78000.0	0.63			₹99 delivery Tomorrow, 14 Nov	₹99 delivery Tomorrow, 14 Nov
Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62...	29990.0	0.4	3.9	747	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB DDR4 RAM/256 GB SSD/14 (...	16649.0	0.67	3.3	21	FREE delivery Mon, 18 Nov	FREE delivery Mon, 18 Nov
HP Pavilion Plus, 12th Gen Intel Core i5 16GB RAM/512GB SSD 14 inch(35.6 cm) Creator Laptop with Eye Safe Display/Intel Ir...	71449.0	0.21	3.8	222	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboar...	99900.0				FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HP 14s Core i3 12th Gen (8GB RAM/512GB SSD/FHD/Windows 11/MS Office 21/14” (35.6cm)/Silver/1.46kg) dy5008TU Laptop	36990.0	0.28	3.9	264	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"HP 15s Intel Core i3 12th Gen (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) / Silve..."	35990.0	0.26	4.1	1984	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce R..."	54990.0	0.32	4.0	327	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 8‑core GPU, 16GB Unified Memory, 256GB) - Midnight	114900.0				FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Lenovo IdeaPad Slim 3 13th Gen Intel Core i3 15.6 inch (39.6cm) FHD Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 82X70033IN	40982.0	0.38	3.6	29	₹99 delivery Tomorrow, 14 Nov	₹99 delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memor...	166990.0	5.0	4.4	34	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR 4GB /Cosmos Gray/1.86Kg), B12UCX-1695IN	52300.0	13.0	4.1	93	FREE delivery Mon, 18 Nov	
HP 15s Core i3 12th Gen (8GB RAM/1TB SSD/FHD/Windows 11/MS Office/15.6” (39.6cm)/Silver/1.69kg) fq5328TU Laptop	39999.0	23.0	3.1	15	FREE delivery Mon, 18 Nov	
Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Displ...	51990.0	23.0	3.5	513	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Acer ALG Gaming Laptop 13th Gen Intel Core i7 Processor (16GB DDR4/512GB SSD/6GB RTX3050 Graphics/144Hz/Win11Home/Wifi 6) ...	70990.0	29.0	3.9	25	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HONOR MagicBook X14 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare Th...	47990.0	41.0	4.1	536	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Dell Insp. 5430 13th Gen Metal Body Laptop, Intel i5-1335U/16GB LPDDR5/512GB SSD/14(35.56cm) FHD+Comfort View/Backlit KB+F...	66490.0	21.0	3.9	70	FREE delivery	
"Lenovo IdeaPad Slim 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud..."	29390.0	54.0	2.8	8	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (3..."	77990.0	26.0	3.9	929	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 8 GB RAM, 256GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Scree...	16700.0	65.0	3.5	174	FREE delivery	
"CHUWI CoreBook X Pro Laptop 12thGen i5-12450H Processor 15.6"" Laptop with 16GB DDR4 RAM and 512GB SSD, FHD Display, Backlit Keyboard, Windows 11, Gray, 3xUSB3.0,1xHDMI,SD Card Slot,3.5MM,Camera Switch"	41990.0	30.0	3.7	78	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight	134900.0	4.0			FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm...	30500.0	59.0	3.9	1141	FREE delivery Mon, 18 Nov	
HP 15s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Win 11/Intel Iris Xe...	50900.0	22.0	3.9	392	FREE delivery Tue, 19 Nov	
"ASUS TUF Gaming, 14"" FHD, 165Hz 400 nits, AMD Ryzen AI 9 HX 370 Processor 2.0GHz, Gaming Laptop (32GB RAM/2TB SSD/NVIDIA G..."	169990.0	17.0	4.6	3	FREE delivery Sat, 16 Nov	
"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Wi..."	54990.0	42.0	3.6	11	FREE delivery Mon, 18 Nov	
HP Victus Windows 11 Home Gaming Laptop,AMD Ryzen 7 7840Hs Ai Powered,6Gb RTX 3050 Gpu,16.1-Inch (40.9 Cm),95W Tgp,Fhd,IP...	81990.0	19.0	3.9	75	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.6...	46990.0	30.0	3.9	169	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"ASUS Vivobook 15 Thin and Light Laptop, Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, 60Hz (16GB RAM/512GB/Windows 11/Off..."	51990.0	32.0	3.8	275	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Lig...	35890.0	53.0			FREE delivery Mon, 18 Nov	
Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight	147990.0	4.0	4.5	91	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/FPR/Black/1Y Onsite/1.77 kg), 21JNS0QD00"	47000.0	47.0	4.0	80	FREE delivery Mon, 18 Nov	
"Dell 15 Thin & Light Laptop, 12th Generation Intel Core i3-1215U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Win 11 + MSO'21, 15 Month McAfee, Titan Grey, 1.69kg"	36490.0	24%	3.8	299	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/FPR/Black/1Y Onsite/1.41 kg), 21JKS13K00"	85000.0	19%	3.3	5	FREE delivery Mon, 18 Nov	
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 HD Display/Grey/1.5 kg/MS Office 2021 Pro Plus	35890.0	53%			FREE delivery Mon, 18 Nov	
"Lenovo V15 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Iron Grey/1.7 kg/MS Office 2021 Pro Plus"	35490.0	56%	3.8	66	FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
"HP 15s AMD Ryzen 5 5500u (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) + Backlit Keyboard/Silver / 1.69 kg/Dual Speakers) eq2304AU / Laptop"	36990.0	24%	3.7	12	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HP 15 Core i5 13th Gen (16GB RAM/512GB SSD/FHD/Windows 11/MS Office/Backlit KB/15.6” (39.6cm)/Silver/1.59kg) fd0316TU Laptop	54990.0	23%	3.5	109	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg/MS Office 2021 Pro Plus"	34490.0	13%	3.8	4	FREE delivery Tue, 19 Nov	
MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR 4GB /Cosmos Gray/1.86Kg), B12UCX-1695IN	52300.0	13%	4.1	93	FREE delivery Mon, 18 Nov	
"Lenovo Ideapad Slim 5 Ryzen 7 7730U 14"" (35.5Cm) Wuxga OLED AMD Laptop (16Gb/1Tb Ssd/Win 11/Office 2021/Backlit Kb/Fhd Camera/Alexa/3 Month Game Pass/1Yr ADP Free/Arctic Grey/1.46Kg), 82Xe007Ein"	65390.0	30%	3.8	66	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"HP 15 Core i3 13th Gen (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Windows 11/MS Office 21/Silver/1.59 kg) fd0006TU Laptop"	40490.0	23%	4.2	1891	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkPad E16 Intel Core i5 13th Gen 16"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/FPR/Black/1Y Onsite/1.77 kg), 21JNS0QE00"	68590.0	37%	3.0	24	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight	174900.0				FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HP Laptop 240 G9 (2024), Intel Core i7 12th Gen 1255U - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm) FHD/Silver/1.47 kg/MS Office 2021 Pro Plus	71499.0	34%			FREE delivery Mon, 18 Nov	
HP Victus Gaming Laptop,Windows 11 Home,AMD Ryzen 5 5600H,4Gb RTX 3050 Gpu,15.6-Inch (39.6 Cm),Fhd,IPS,144Hz,16Gb Ddr4,512Gb Ssd,Backlit Kb,B&O,9Ms Response Time,Dual Speakers (Blue,2.37 Kg),Fb0106Ax	60990.0	28%	4.2	146	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer Nitro 5 Intel Core i7-9th Gen 17.3"" (43.94 cms) Display 1920 x 1080 Gaming Laptop (8GB Ram/2TB HDD/256GB SSD/Window 10 Home/6GB NVIDIA GeForce GTX 1660 Ti Graphics/Black), AN517-51"	106610.0	18%	3.8	87	FREE delivery Sat, 16 Nov	Or fastest delivery Fri, 15 Nov
HP Victus Gaming Laptop, AMD Ryzen 7 8845HS AI Powered, 6GB RTX 4050 GPU,15.6-inch (39.6 cm),FHD, IPS,144Hz,16GB DDR5,1TB SSD, 300 nits, Win 11,Backlit KB, DTS:X Ultra (MSO, Blue, 2.29 kg), fb2117AX	99490.0	12%	4.0	12	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Primebook S Wifi, 2024(NEW) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)	13790.0	34%	4.3	162	FREE delivery Mon, 18 Nov	
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Silver/1.38 kg), E1404FA-NK321WS"	30990.0	24%	4.2	56	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkBook 15 G5 AMD Ryzen 7 7730U 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Backlit/Mineral Grey/1 Year Onsite/1.7 kg), 21JFA00BIN"	42020.0	67%	3.6	44	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 8‑core GPU, 16GB Unified Memory, 256GB) - Space Gray	114900.0				FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"HP 15s Intel Core i5 12th Gen (16GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) + Backlit Keyboard/Silver / 1.69 kg/Dual Speakers) fq5330TU / Laptop"	51490.0	25%	3.8	315	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"(Refurbished) Lenovo ThinkPad X260 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|512 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Bluetooth|Webcam|Intel HD Graphics)"	14499.0	84%	4.0	1	FREE delivery Mon, 18 Nov	Or fastest delivery Sat, 16 Nov
HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/MS Office 2021 Pro Plus	30990.0	39%			FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA0J6IN"	54990.0	42%	3.6	11	FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/NVIDIA RTX 3050 6GB Graphics/Win 11/Non-MSO/3 Mon. Game Pass/Grey/2.4Kg), 83GS003NIN"	72190.0	23%	3.7	30	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
AXL VayuBook Laptop 14.1 Inch FHD IPS Display (4GB Ram,128GB SSD) 1920 * 1080 Resolution | HD Gemini Lake N4020 | Windows 11 Home | UHD Graphics 600 (Cloud Silver)	12990.0	59%	3.3	292	FREE delivery Sat, 16 Nov	
HP Pavilion 14 Touchscreen 12th Gen Intel Core i5-1235U,14-inch (35.6 cm),FHD,16GB DDR4, 512GB SSD, Intel Iris Xᵉ Graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.41 kg), dv2041TU	61990.0	20%	4.3	2016	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display"	23699.0	41%	3.7	192	FREE delivery Tue, 19 Nov	
"ASUS Vivobook 15 (2023), Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Fingerprint/Blue/1.7 kg), X1504VA-NJ323WS"	38990.0	33%	3.9	74	FREE delivery Sun, 17 Nov	
(Refurbished) ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W	56091.0	15%			FREE delivery Sat, 16 Nov	Or fastest delivery Fri, 15 Nov
HP Laptop 15s AMD Ryzen 7 5700U, 15.6-inch(39.6 cm) FHD, Anti-Glare Laptop (16 GB/512 GB/AMD Radeon Graphics/Dual Speakers/Backlit KB/Win 11/1.69kg/Natural Silver, 15s-eq2084AU	48990.0	24%	3.5	6	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight	127990.0	5%	4.5	91	FREE delivery	
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN"	66190.0	22%	3.9	629	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/12GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG"	44990.0	32%	3.9	169	FREE delivery	
HP Laptop 240 G8 (2024), Intel Core i5 11th Gen 1135G7 - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm)/Black/1.47 kg/MS Office 2021 Pro Plus	45990.0	39%			FREE delivery Mon, 18 Nov	
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Win11//Backlit Keyboard/Silver/1.7 kg), X1504ZA-NJ522WS"	44990.0	36%	3.7	7	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell 15 Thin & Light Laptop, Core i5-1235U Processor, 8GB RAM + 512GB SSD, 15.6"" FHD Window 11 + MSO '21, 15 Month McAfee, Spill-Resistant Keyboard, Black, 1.66kg"	47990.0	23%	3.5	513	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo IdeaPad 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office 2021/1Yr ADP Free/Cloud Grey/1.58Kg), 82VG00EVIN"	29149.0	46%	4.0	602	FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo IdeaPad 1 AMD Athlon Silver 7120U 15.6"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/1Year Warranty/MS Office/Cloud Grey/1.58Kg), 82VG00EQIN"	27990.0	36%	3.9	376	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 16"" (40.6cm) WUXGA-IPS 300Nit Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3 mon Game Pass/Grey/1.9Kg), 83DC0042IN"	72990.0	18.0	2.8	23	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
